Movie_Title,Time,Genre,Directors,Writers,Actors,Metascore,User_Rating,Number_of_Ratings,Budget,Box_Office_US,Box_Office_World,MPAA,Date
The File on Thelma Jordon,100,Crime; Drama; Film-Noir,18-Jan-50,Marty Holland; Ketti Frings,Barbara Stanwyck; Wendell Corey; Paul Kelly,,6.8,805,,,,,18-Jan-50
Story of a Love Affair,98,Crime; Drama; Romance,30-Apr-75,Michelangelo Antonioni; Michelangelo Antonioni,Lucia Bos; Massimo Girotti; Ferdinando Sarmi,,7.1,"1,074",,,,,30-Apr-75
The Damned Don't Cry,103,Drama; Film-Noir; Romance,7-May-50,Harold Medford; Jerome Weidman,Joan Crawford; David Brian; Steve Cochran,,7,985,"$1,233,000 ","$1,540,000 ","$671,000 ",,7-May-50
House by the River,88,Crime; Drama; Film-Noir,25-Mar-50,Mel Dinelli; A.P. Herbert,Louis Hayward; Lee Bowman; Jane Wyatt,,7.2,"1,233",,,,,25-Mar-50
Shbun,105,Drama,17-Jul-64,Ryz Kikushima; Akira Kurosawa,Toshir Mifune; Shirley Yamaguchi; Yko Katsuragi,,7.4,"1,435",,,,,17-Jul-64
Montana,76,Action; Adventure; Romance,28-Jan-50,James R. Webb; Borden Chase,Errol Flynn; Alexis Smith; S.Z. Sakall,,6.1,499,,,,,28-Jan-50
Armored Car Robbery,67,Crime; Film-Noir; Thriller,8-Jun-50,Earl Felton; Gerald Drayson Adams,Charles McGraw; Adele Jergens; William Talman,,6.9,991,,,,,8-Jun-50
Let's Dance,112,Musical; Comedy; Romance,29-Nov-50,Dane Lussier; Allan Scott,Betty Hutton; Fred Astaire; Roland Young,,6.2,254,,,,,29-Nov-50
The Man Who Cheated Himself,81,Film-Noir; Crime; Drama,26-Dec-50,Seton I. Miller; Philip MacDonald,Lee J. Cobb; Jane Wyatt; John Dall,,6.8,438,,,,,26-Dec-50
The Big Lift,120,Drama; War,26-Apr-50,George Seaton,Montgomery Clift; Paul Douglas; Cornell Borchers,,6.4,713,,,,,26-Apr-50
The Furies,109,Drama; Romance; Western,28-Mar-51,Niven Busch; Charles Schnee,Barbara Stanwyck; Wendell Corey; Walter Huston,,7.3,"1,249",,,,,28-Mar-51
The Breaking Point,97,Crime; Drama; Film-Noir,6-Oct-50,Ranald MacDougall; Ernest Hemingway,John Garfield; Patricia Neal; Phyllis Thaxter,,7.3,737,,,,,6-Oct-50
Devil's Doorway,84,Drama; Western,15-Sep-50,Guy Trosper,Robert Taylor; Louis Calhern; Paula Raymond,,7.2,568,,,,,15-Sep-50
Rocky Mountain,83,Action; Adventure; Western,11-Nov-50,Winston Miller; Alan Le May,Errol Flynn; Patrice Wymore; Scott Forbes,,6.7,386,,,,,11-Nov-50
Atom Man vs. Superman,252,Sci-Fi,20-Jul-50,George H. Plympton; Joseph F. Poland,Kirk Alyn; Noel Neill; Lyle Talbot,,7,232,,,,,20-Jul-50
Stars in My Crown,89,Drama; Family; Western,11-May-50,Joe David Brown; Joe David Brown,Joel McCrea; Ellen Drew; Dean Stockwell,,7.4,791,,,,,11-May-50
Chain Lightning,94,Drama; Action,31-May-50,Lester Cole; Liam O'Brien,Humphrey Bogart; Eleanor Parker; Raymond Massey,,5.9,454,,,,,31-May-50
Two Weeks with Love,90,Comedy; Musical; Romance,10-Nov-50,John Larkin; Dorothy Kingsley,Jane Powell; Ricardo Montalban; Louis Calhern,,6.6,378,,,,,10-Nov-50
Gone to Earth,82,Drama; Romance,6-Nov-50,Mary Webb; Michael Powell,Jennifer Jones; David Farrar; Cyril Cusack,,7.1,492,,,,,6-Nov-50
Convicted,91,Action; Adventure; Crime,Aug-50,Martin Flavin; William Bowers,Glenn Ford; Broderick Crawford; Millard Mitchell,,6.8,275,,,,,Aug-50
The Blue Lamp,84,Action; Crime; Drama,1-Jun-50,T.E.B. Clarke; Jan Read,Jack Warner; Jimmy Hanley; Dirk Bogarde,,6.8,662,,,,,1-Jun-50
The Wooden Horse,101,Drama; History; War,16-Oct-50,Eric Williams,Leo Genn; David Tomlinson; Anthony Steel,,6.9,534,,,,,16-Oct-50
Ikari no machi,105,,14-May-50,Mikio Naruse; Motosada Nishiki,Yuriko Hamada; Chieko Higashiyama; Isao Kimura,,7.5,15,,,,,14-May-50
Madeleine,101,Crime; Drama,14-Feb-50,Nicholas Phipps; Stanley Haynes,Ann Todd; Norman Wooland; Ivan Desny,,6.9,621,,,,,14-Feb-50
Till gldje,98,Drama,20-Feb-50,Ingmar Bergman,Maj-Britt Nilsson; Stig Olin; Birger Malmsten,,7.2,908,,,,,20-Feb-50
The Astonished Heart,85,Drama; Romance,Mar-50,Noel Coward,Celia Johnson; Noel Coward; Margaret Leighton,,6,144,,,,,Mar-50
Buccaneer's Girl,77,Action; Adventure; Comedy,1-Mar-50,Samuel R. Golding; Joseph Hoffman,Yvonne De Carlo; Philip Friend; Robert Douglas,,6.2,152,,,,,1-Mar-50
Fancy Pants,92,Comedy; Western,19-Jul-50,Harry Leon Wilson; Edmund L. Hartmann,Bob Hope; Lucille Ball; Bruce Cabot,,6.6,567,,,,G,19-Jul-50
Mystery Street,93,Crime; Drama; Film-Noir,28-Jul-50,Sydney Boehm; Richard Brooks,Ricardo Montalban; Sally Forrest; Bruce Bennett,,6.9,"1,068",,,,,28-Jul-50
American Guerrilla in the Philippines,105,Drama; War,8-Nov-50,Lamar Trotti; Ira Wolfert,Tyrone Power; Micheline Presle; Tom Ewell,,6.1,460,,,,,8-Nov-50
Comanche Territory,76,Action; Adventure; Western,1-May-50,Lewis Meltzer; Oscar Brodney,Maureen O'Hara; Macdonald Carey; Will Geer,,5.5,222,,,,,1-May-50
Seven Days to Noon,94,Thriller; Drama,18-Dec-50,Frank Harvey; Roy Boulting,Barry Jones; Olive Sloane; Andr Morell,,7.1,727,,,,,18-Dec-50
Alice in Wonderland,75,Animation; Adventure; Family,28-Jul-51,Lewis Carroll; Winston Hibler,Kathryn Beaumont; Ed Wynn; Richard Haydn,,7.4,"56,139","$3,000,000 ",,,G,28-Jul-51
A Streetcar Named Desire,122,Drama,1-Dec-51,Tennessee Williams; Oscar Saul,Vivien Leigh; Marlon Brando; Kim Hunter,,8,"54,998","$1,800,000 ","$8,000,000 ",,PG,1-Dec-51
Strangers on a Train,101,Crime; Film-Noir; Thriller,30-Jun-51,Raymond Chandler; Czenzi Ormonde,Farley Granger; Ruth Roman; Robert Walker,,8.2,"57,698","$1,200,000 ","$3,500,000 ",,PG,30-Jun-51
The Day the Earth Stood Still,92,Drama; Sci-Fi; Thriller,28-Sep-51,Edmund H. North; Harry Bates,Michael Rennie; Patricia Neal; Hugh Marlowe,,7.9,"49,876","$1,200,000 ",,,,28-Sep-51
The African Queen,105,Adventure; Romance; War,20-Feb-52,C.S. Forester; James Agee,Humphrey Bogart; Katharine Hepburn; Robert Morley,,8,"44,435",,"$536,118 ",,PG,20-Feb-52
An American in Paris,113,Musical; Romance,11-Nov-51,Alan Jay Lerner; Alan Jay Lerner,Gene Kelly; Leslie Caron; Oscar Levant,,7.2,"14,367","$2,723,903 ","$4,500,000 ","$8,005,000 ",,11-Nov-51
The Thing from Another World,87,Horror; Sci-Fi,29-Apr-51,Charles Lederer; John W. Campbell Jr.,Margaret Sheridan; Kenneth Tobey; Robert Cornthwaite,,7.3,"12,755",,,,,29-Apr-51
Quo Vadis,171,Drama; Romance,25-Dec-51,John Lee Mahin; S.N. Behrman,Robert Taylor; Deborah Kerr; Leo Genn,,7.1,"6,586","$7,623,000 ",,,,25-Dec-51
A Place in the Sun,122,Drama; Romance,11-Oct-51,Theodore Dreiser; Patrick Kearney,Montgomery Clift; Elizabeth Taylor; Shelley Winters,,7.7,"10,451","$2,295,304 ",,,,11-Oct-51
Ace in the Hole,111,Drama; Film-Noir,29-Jun-51,Billy Wilder; Lesser Samuels,Kirk Douglas; Jan Sterling; Robert Arthur,72/100,8.2,"11,973","$1,821,052 ",,,,29-Jun-51
Scrooge,86,Drama; Fantasy,2-Dec-51,Charles Dickens; Noel Langley,Alastair Sim; Kathleen Harrison; Mervyn Johns,,8,"10,897",,,,,2-Dec-51
David and Bathsheba,116,Drama; History; Romance,10-Aug-51,Philip Dunne,Gregory Peck; Susan Hayward; Raymond Massey,,5.9,854,,,,,10-Aug-51
Show Boat,108,Drama; Family; Musical,24-Sep-51,John Lee Mahin; Jerome Kern,Kathryn Grayson; Ava Gardner; Howard Keel,,6.8,"2,555","$2,295,429 ",,"$8,650,000 ",,24-Sep-51
The Desert Fox: The Story of Rommel,88,Action; Biography; Drama,17-Oct-51,Nunnally Johnson; Desmond Young,James Mason; Cedric Hardwicke; Jessica Tandy,,6.9,"2,717",,,,,17-Oct-51
The Lavender Hill Mob,81,Comedy; Crime,10-Sep-51,T.E.B. Clarke,Alec Guinness; Stanley Holloway; Sid James,,7.8,"6,757",,,,,10-Sep-51
When Worlds Collide,83,Sci-Fi,Aug-51,Sydney Boehm; Edwin Balmer,Richard Derr; Barbara Rush; Peter Hansen,,6.7,"3,550","$936,000 ",,,G,Aug-51
Royal Wedding,93,Comedy; Musical; Romance,23-Mar-51,Alan Jay Lerner; Alan Jay Lerner,Fred Astaire; Jane Powell; Peter Lawford,,6.6,"2,570","$1,590,920 ",,"$3,925,000 ",,23-Mar-51
Angels in the Outfield,99,Comedy; Family; Fantasy,19-Oct-51,Richard Conlin; Dorothy Kingsley,Paul Douglas; Janet Leigh; Keenan Wynn,,6.9,"1,136",,,,,19-Oct-51
Tomahawk,82,History; Western,5-Feb-51,Daniel Jarrett; Silvia Richards,Van Heflin; Yvonne De Carlo; Alex Nicol,,6,232,,,,,5-Feb-51
Captain Horatio Hornblower R.N.,117,Action; Adventure; Drama,10-Apr-51,Ivan Goff; Ben Roberts,Gregory Peck; Virginia Mayo; Robert Beatty,,7.3,"3,599",,,,,10-Apr-51
Outcast of the Islands,93,Drama; Adventure,11-Jul-52,Joseph Conrad; William Fairchild,Ralph Richardson; Trevor Howard; Robert Morley,,6.9,366,,,,,11-Jul-52
The Man in the White Suit,85,Comedy; Sci-Fi; Drama,Apr-52,Roger MacDougall; Roger MacDougall,Alec Guinness; Joan Greenwood; Cecil Parker,,7.5,"4,437",,"$8,265 ",,,Apr-52
People Will Talk,110,Comedy; Drama; Romance,29-Aug-51,Joseph L. Mankiewicz; Curt Goetz,Cary Grant; Jeanne Crain; Finlay Currie,,7.3,"2,781",,,,,29-Aug-51
The Big Night,75,Drama; Film-Noir; Thriller,13-Nov-51,Stanley Ellin; Joseph Losey,John Drew Barrymore; Preston Foster; Joan Lorring,,6.4,257,,,,,13-Nov-51
Ten Tall Men,97,Action; Adventure; War,26-Oct-51,Roland Kibbee; Frank Davis,Burt Lancaster; Jody Lawrance; Gilbert Roland,,6,355,,,,,26-Oct-51
Detective Story,103,Crime; Drama; Film-Noir,19-May-52,Philip Yordan; Robert Wyler,Kirk Douglas; Eleanor Parker; William Bendix,,7.6,"3,160",,,,,19-May-52
The River,99,Drama; Romance,19-Dec-51,Rumer Godden; Rumer Godden,Nora Swinburne; Esmond Knight; Arthur Shields,,7.6,"2,575",,,,,19-Dec-51
The Tales of Hoffmann,128,Adventure; Fantasy; Music,13-Jun-52,Dennis Arundell; Jules Barbier,Moira Shearer; Ludmilla Tchrina; Ann Ayars,,7.4,"1,191",,,,,13-Jun-52
Diary of a Country Priest,95,Drama,5-Apr-54,Georges Bernanos; Robert Bresson,Claude Laydu; Jean Riveyre; Adrien Borel,,7.8,"4,468",,,,,5-Apr-54
Operation Pacific,111,Drama; War,27-Jan-51,George Waggner,John Wayne; Patricia Neal; Ward Bond,,6.5,"1,457",,,,,27-Jan-51
Flying Leathernecks,102,Drama; War; Action,28-Aug-51,James Edward Grant; Kenneth Gamet,John Wayne; Robert Ryan; Don Taylor,,6.2,"2,373",,,,,28-Aug-51
The Red Badge of Courage,69,Drama; War,16-Mar-51,Stephen Crane; John Huston,Audie Murphy; Bill Mauldin; Douglas Dick,,7.2,"2,331","$1,640,000 ",,,,16-Mar-51
Bedtime for Bonzo,83,Comedy; Family; Romance,28-Sep-51,Ted Berkman; Raphael Blau,Ronald Reagan; Diana Lynn; Walter Slezak,,5.2,562,,,,,28-Sep-51
Cattle Drive,77,Action; Western,8-Aug-51,Jack Natteford; Lillie Hayward,Joel McCrea; Dean Stockwell; Chill Wills,,6.2,196,,,,,8-Aug-51
The House on Telegraph Hill,93,Film-Noir; Mystery; Thriller,27-Aug-51,Elick Moll; Frank Partos,Richard Basehart; Valentina Cortese; William Lundigan,,6.9,"1,100",,,,,27-Aug-51
Mysterious Island,252,Action; Sci-Fi,13-Sep-51,Lewis Clay; Royal K. Cole,Richard Crane; Marshall Reed; Karen Randle,,6.3,76,,,,,13-Sep-51
The Enforcer,87,Drama; Crime; Film-Noir,24-Feb-51,Martin Rackin,Humphrey Bogart; Zero Mostel; Ted de Corsia,,7.3,"1,945",,,,,24-Feb-51
The Idiot,166,Drama,30-Apr-63,Fyodor Dostoevsky; Eijir Hisaita,Setsuko Hara; Masayuki Mori; Toshir Mifune,,7.4,"2,204",,,,,30-Apr-63
Summer Interlude,96,Drama; Romance,26-Oct-54,Ingmar Bergman; Herbert Grevenius,Maj-Britt Nilsson; Birger Malmsten; Alf Kjellin,,7.4,"1,672",,,,,26-Oct-54
Awaara,82,Drama; Musical; Romance,7-Apr-56,Khwaja Ahmad Abbas; Khwaja Ahmad Abbas,Prithviraj Kapoor; Nargis; Raj Kapoor,,7.6,"1,479",,,,,7-Apr-56
Miracle in Milan,100,Comedy; Drama; Fantasy,17-Dec-51,Cesare Zavattini; Cesare Zavattini,Emma Gramatica; Francesco Golisano; Paolo Stoppa,,7.7,"2,571",,,,,17-Dec-51
Elephant Stampede,71,Action; Adventure; Crime,28-Oct-51,Roy Rockwood; Ford Beebe,Johnny Sheffield; Donna Martell; John Kellogg,,5.4,57,,,,,28-Oct-51
Her First Romance,72,Drama; Romance,4-May-51,Albert Mannheimer; Herman Wouk,Margaret O'Brien; Allen Martin Jr.; Jimmy Hunt,,5.1,93,,,,,4-May-51
Rawhide,89,Drama; Romance; Western,25-Mar-51,Dudley Nichols,Tyrone Power; Susan Hayward; Hugh Marlowe,,7,824,,,,,25-Mar-51
Bakush,124,Drama,2-Aug-72,Kgo Noda; Yasujir Ozu,Setsuko Hara; Chish Ry; Chikage Awashima,,7.9,"2,782",,,,,2-Aug-72
Westward the Women,118,Western; Drama,31-Dec-51,Charles Schnee; Frank Capra,Robert Taylor; Denise Darcel; Hope Emerson,,7.4,"1,370",,,,,31-Dec-51
Vengeance Valley,83,Western,9-Aug-51,Luke Short; Irving Ravetch,Burt Lancaster; Robert Walker; Joanne Dru,,5.8,926,,,,,9-Aug-51
Sirocco,98,Drama; Action,13-Jun-51,A.I. Bezzerides; Hans Jacoby,Humphrey Bogart; Mrta Torn; Lee J. Cobb,,6.2,"1,035",,,,,13-Jun-51
On Moonlight Bay,95,Comedy; Musical; Romance,6-Jun-52,Jack Rose; Melville Shavelson,Doris Day; Gordon MacRae; Jack Smith,,6.8,"1,180",,,,,6-Jun-52
Fourteen Hours,92,Drama; Film-Noir,Apr-51,John Paxton; Joel Sayre,Paul Douglas; Richard Basehart; Barbara Bel Geddes,,7.1,"1,032",,,,,Apr-51
The Lemon Drop Kid,91,Comedy; Music; Romance,2-Apr-51,Edmund Beloin; Irving Elinson,Bob Hope; Marilyn Maxwell; Lloyd Nolan,,7,832,,,,,2-Apr-51
