Movie_Title,Time,Genre,Directors,Writers,Actors,Metascore,User_Rating,Number_of_Ratings,Budget,Box_Office_US,MPAA,Date
The New World,135,Biography; Drama; History,Woody Allen,Terrence Malick,Colin Farrell; Q'orianka Kilcher; Christopher Plummer,69,6.8,51669,3.00E+07,1.27E+07,PG-13,20-Jan-06
The Great Raid,132,Action; Drama; War,Eli Roth,William B. Breuer; Hampton Sides,Benjamin Bratt; Joseph Fiennes; James Franco,48,6.7,13185,8.00E+07,1.02E+07,R,12-Aug-05
Match Point,124,Crime; Drama; Thriller,Darren Lynn Bousman,Woody Allen,Scarlett Johansson; Jonathan Rhys Meyers; Emily Mortimer,72,7.7,108471,1.50E+07,2.31E+07,R,20-Jan-06
The Skeleton Key,104,Drama; Horror; Mystery,Chris Wedge,Ehren Kruger,Kate Hudson; Peter Sarsgaard; Joy Bryant,47,6.4,59052,4.30E+07,4.78E+07,PG-13,12-Aug-05
Chicken Little,81,Animation; Adventure; Comedy,Dean Parisot,Mark Dindal; Mark Kennedy,Zach Braff; Joan Cusack; Garry Marshall,48,5.8,36726,1.50E+08,1.35E+08,G,4-Nov-05
Revolver,115,Crime; Drama; Mystery,Jon Favreau,Luc Besson; Guy Ritchie,Jason Statham; Ray Liotta; Vincent Pastore,25,6.3,51340,,75420,R,22-Sep-05
Corpse Bride,77,Animation; Fantasy; Musical,Ron Howard,Tim Burton; Carlos Grangel,Johnny Depp; Helena Bonham Carter; Emily Watson,83,7.4,114796,4.00E+07,5.33E+07,PG,23-Sep-05
The Devil's Rejects,107,Horror,Sam Mendes,Rob Zombie; Rob Zombie,Sid Haig; Sheri Moon Zombie; Bill Moseley,53,6.8,54695,7000000,1.69E+07,R,22-Jul-05
Robots,91,Animation; Adventure; Comedy,Rob Zombie,Ron Mita; Jim McClain,Ewan McGregor; Halle Berry; Mel Brooks,64,6.3,61281,7.50E+07,1.28E+08,PG,11-Mar-05
The Cave,97,Action; Adventure; Horror,Nigel Cole,Michael Steinberg; Tegan West,Piper Perabo; Morris Chestnut; Cole Hauser,30,4.9,20538,3.00E+07,1.49E+07,PG-13,26-Aug-05
Sky High,100,Adventure; Comedy; Family,Jay Chandrasekhar,Paul Hernandez; Robert Schooley,Kurt Russell; Kelly Preston; Michael Angarano,62,6.3,40105,3.50E+07,6.39E+07,PG,29-Jul-05
Cinderella Man,144,Biography; Drama; Romance,Jaume Collet-Serra,Cliff Hollingsworth; Akiva Goldsman,Russell Crowe; Rene Zellweger; Craig Bierko,69,7.9,102869,8.80E+07,6.16E+07,PG-13,3-Jun-05
Jarhead,125,Biography; Drama; War,Rian Johnson,William Broyles Jr.; Anthony Swofford,Jake Gyllenhaal; Jamie Foxx; Lucas Black,58,7,96140,7.00E+07,6.26E+07,R,4-Nov-05
A Lot Like Love,107,Comedy; Drama; Romance,Terry Gilliam,Colin Patrick Lynch,Ashton Kutcher; Amanda Peet; Taryn Manning,48,6.4,39616,3.00E+07,2.18E+07,PG-13,22-Apr-05
The Constant Gardener,129,Drama; Mystery; Thriller,David Jacobson,Jeffrey Caine; John le Carr,Ralph Fiennes; Rachel Weisz; Hubert Kound,82,7.5,79861,&#163;15000000,3.36E+07,R,31-Aug-05
Sahara,124,Action; Adventure; Comedy,Chris Columbus,Clive Cussler; Thomas Dean Donnelly,Matthew McConaughey; Penlope Cruz; Steve Zahn,41,5.9,53998,1.30E+08,6.86E+07,PG-13,8-Apr-05
The Pacifier,95,Action; Comedy; Drama,Karyn Kusama,Thomas Lennon; Robert Ben Garant,Vin Diesel; Brittany Snow; Max Thieriot,30,5.3,39781,5.60E+07,1.13E+08,PG,4-Mar-05
House of Wax,113,Horror; Thriller,Iain Softley,Charles Belden; Chad Hayes,Chad Michael Murray; Paris Hilton; Elisha Cuthbert,41,5.2,62656,3.00E+07,3.20E+07,R,6-May-05
Brick,110,Drama; Mystery,Lasse Hallstrm,Rian Johnson,Joseph Gordon-Levitt; Lukas Haas; Emilie de Ravin,72,7.4,61536,475000,2060589,R,7-Apr-06
Syriana,128,Drama; Thriller,Roger Kumble,Stephen Gaghan; Robert Baer,George Clooney; Matt Damon; Amanda Peet,76,7,80948,5.00E+07,5.08E+07,R,9-Dec-05
Flightplan,98,Drama; Mystery; Thriller,Mike Mitchell,Peter A. Dowling; Billy Ray,Jodie Foster; Peter Sarsgaard; Sean Bean,53,6.1,86400,5.50E+07,8.97E+07,PG-13,23-Sep-05
Rent,135,Drama; Musical; Romance,Wes Craven,Stephen Chbosky; Jonathan Larson,Taye Diggs; Wilson Jermaine Heredia; Rosario Dawson,53,6.8,31310,4.00E+07,2.91E+07,PG-13,23-Nov-05
The Brothers Grimm,118,Action; Adventure; Comedy,Breck Eisner,Ehren Kruger,Matt Damon; Heath Ledger; Monica Bellucci,51,5.9,69037,8.80E+07,3.79E+07,PG-13,26-Aug-05
Elektra,97,Action; Crime; Fantasy,Catherine Hardwicke,Mark Steven Johnson; Frank Miller,Jennifer Garner; Goran Visnjic; Will Yun Lee,34,4.8,47496,4.30E+07,2.44E+07,PG-13,14-Jan-05
Land of the Dead,93,Horror; Sci-Fi,Craig Brewer,George A. Romero,John Leguizamo; Asia Argento; Simon Baker,71,6.3,59613,1.50E+07,2.07E+07,R,24-Jun-05
on Flux,93,Action; Sci-Fi,Kirk Jones,Phil Hay; Matt Manfredi,Charlize Theron; Frances McDormand; Sophie Okonedo,36,5.4,78415,6.20E+07,2.59E+07,PG-13,2-Dec-05
Lords of Dogtown,107,Biography; Drama; Sport,Martin Campbell,Stacy Peralta,Heath Ledger; Emile Hirsch; Victor Rasuk,56,6.9,29678,2.50E+07,1.10E+07,PG-13,3-Jun-05
Hide and Seek,101,Horror; Mystery; Thriller,Marc Forster,Ari Schlossberg,Robert De Niro; Dakota Fanning; Famke Janssen,35,5.7,51132,2.50E+07,5.11E+07,R,28-Jan-05
The Dukes of Hazzard,104,Action; Adventure; Comedy,Andrzej Bartkowiak,John O'Brien; John O'Brien,Seann William Scott; Johnny Knoxville; Jessica Simpson,33,4.8,47503,5.00E+07,8.03E+07,PG-13,5-Aug-05
The Legend of Zorro,129,Action; Adventure; Western,John Maybury,Roberto Orci; Alex Kurtzman,Antonio Banderas; Catherine Zeta-Jones; Rufus Sewell,47,5.8,44293,7.50E+07,4.54E+07,PG,28-Oct-05
The Greatest Game Ever Played,120,Drama; History; Sport,Barbara Kopple,Mark Frost; Mark Frost,Shia LaBeouf; Stephen Dillane; Elias Koteas,55,7.3,14261,,1.53E+07,PG,30-Sep-05
The Interpreter,128,Mystery; Thriller,Rupert Wainwright,Martin Stellman; Brian Ward,Nicole Kidman; Sean Penn; Catherine Keener,62,6.4,65342,8.00E+07,7.25E+07,PG-13,22-Apr-05
Doom,100,Action; Adventure; Horror,Bennett Miller,Dave Callaham; Wesley Strick,Karl Urban; Rosamund Pike; Dwayne Johnson,34,5.1,63375,6.00E+07,2.80E+07,R,21-Oct-05
Hostage,113,Crime; Drama; Mystery,Florent-Emilio Siri,Robert Crais; Doug Richardson,Bruce Willis; Kevin Pollak; Serena Scott Thomas,44,6.6,69059,5.20E+07,3.46E+07,R,11-Mar-05
Domino,127,Action; Biography; Crime,Robert Schwentke,Richard Kelly; Richard Kelly,Keira Knightley; Mickey Rourke; dgar Ramrez,36,5.9,45100,5.00E+07,1.02E+07,R,14-Oct-05
Fun with Dick and Jane,90,Comedy; Crime,George Clooney,Judd Apatow; Nicholas Stoller,Jim Carrey; Ta Leoni; Alec Baldwin,47,6,75972,1.00E+08,1.10E+08,PG-13,21-Dec-05
Stay,99,Drama; Mystery; Thriller,Adam Shankman,David Benioff,Ewan McGregor; Naomi Watts; Ryan Gosling,41,6.7,42790,5.00E+07,3626883,R,21-Oct-05
Be Cool,118,Comedy; Crime,F. Gary Gray,Elmore Leonard; Peter Steinfeld,John Travolta; Uma Thurman; Dwayne Johnson,37,5.6,46645,5.30E+07,5.58E+07,PG-13,4-Mar-05
Just Like Heaven,95,Comedy; Fantasy; Romance,George A. Romero,Peter Tolan; Leslie Dixon,Reese Witherspoon; Mark Ruffalo; Donal Logue,47,6.7,54967,5.80E+07,4.83E+07,PG-13,16-Sep-05
Venom,85,Thriller; Horror,Rob Cohen,Flint Dille; John Zuur Platten,Agnes Bruckner; Jonathan Jackson; Meagan Good,25,4.6,5823,,881745,R,16-Sep-05
Oliver Twist,130,Crime; Drama; Family,John Polson,Charles Dickens; Ronald Harwood,Barney Clark; Ben Kingsley; Jeremy Swift,65,6.9,17462,&#8364;50000000,1987287,PG-13,30-Sep-05
Hustle &amp; Flow,116,Crime; Drama; Music,Clare Kilner,Craig Brewer,Terrence Howard; Ludacris; Anthony Anderson,68,7.4,25389,8000000,2.22E+07,R,22-Jul-05
The Adventures of Sharkboy and Lavagirl 3-D,93,Action; Adventure; Family,Adam Shankman,Robert Rodriguez; Marcel Rodriguez,Cayden Boyd; George Lopez; Kristin Davis,38,3.4,10773,,3.92E+07,PG,10-Jun-05
Capote,114,Biography; Crime; Drama,Tony Scott,Dan Futterman; Gerald Clarke,Philip Seymour Hoffman; Clifton Collins Jr.; Catherine Keener,88,7.4,62720,7000000,2.87E+07,R,3-Feb-06
Imagine Me &amp; You,94,Comedy; Drama; Romance,Phil Morrison,Ol Parker,Piper Perabo; Lena Headey; Matthew Goode,49,6.7,15046,,671240,R,25-May-06
White Noise,101,Drama; Mystery; Thriller,Ol Parker,Niall Johnson,Michael Keaton; Deborah Kara Unger; Ian McNeice,30,5.4,30903,1.00E+07,5.59E+07,PG-13,7-Jan-05
"Good Night, and Good Luck.",93,Drama; History,David Ayer,George Clooney; Grant Heslov,David Strathairn; George Clooney; Patricia Clarkson,80,7.6,65020,7500000,3.15E+07,PG,4-Nov-05
North Country,126,Drama,Mark Waters,Michael Seitzman; Clara Bingham,Charlize Theron; Jeremy Renner; Frances McDormand,68,7.2,24162,3.50E+07,1.83E+07,R,21-Oct-05
Hoodwinked!,80,Animation; Comedy; Family,Sydney Pollack,Cory Edwards; Todd Edwards,Anne Hathaway; Glenn Close; Patrick Warburton,45,6.5,32965,1.50E+07,5.11E+07,PG,13-Jan-06
The Departed,151,Crime; Thriller,Martin Scorsese,William Monahan; Alan Mak,Leonardo DiCaprio; Matt Damon; Jack Nicholson,86,8.5,480744,9.00E+07,1.32E+08,R,6-Oct-06
300,117,Action; Fantasy; History,Martin Campbell,Zack Snyder; Kurt Johnstad,Gerard Butler; Lena Headey; David Wenham,51,7.7,384897,6.50E+07,2.11E+08,R,9-Mar-07
Casino Royale,144,Action; Crime; Thriller,Zack Snyder,Neal Purvis; Robert Wade,Daniel Craig; Eva Green; Judi Dench,81,7.9,294026,1.50E+08,1.67E+08,PG-13,17-Nov-06
The Prestige,130,Drama; Mystery; Thriller,Christopher Nolan,Jonathan Nolan; Christopher Nolan,Christian Bale; Hugh Jackman; Scarlett Johansson,66,8.5,434886,4.00E+07,5.31E+07,PG-13,20-Oct-06
Cars,117,Animation; Adventure; Comedy,Gore Verbinski,John Lasseter; Joe Ranft,Owen Wilson; Bonnie Hunt; Paul Newman,73,7.3,137016,1.20E+08,2.44E+08,G,9-Jun-06
El laberinto del fauno,118,Drama; Fantasy; War,Justin Lin,Guillermo del Toro,Ivana Baquero; Ariadna Gil; Sergi Lpez,98,8.3,279440,&#8364;13500000,3.76E+07,R,19-Jan-07
X-Men: The Last Stand,104,Action; Adventure; Sci-Fi,Brett Ratner,Simon Kinberg; Zak Penn,Patrick Stewart; Hugh Jackman; Halle Berry,58,6.8,213711,2.10E+08,2.34E+08,PG-13,26-May-06
The Pursuit of Happyness,117,Biography; Drama,John Lasseter,Steve Conrad,Will Smith; Thandie Newton; Jaden Smith,64,7.8,192269,5.50E+07,1.64E+08,PG-13,15-Dec-06
Pirates of the Caribbean: Dead Man's Chest,151,Action; Adventure; Fantasy,Guillermo del Toro,Ted Elliott; Terry Rossio,Johnny Depp; Orlando Bloom; Keira Knightley,53,7.3,305314,2.25E+08,4.23E+08,PG-13,7-Jul-06
The Lives of Others,137,Drama; Thriller,Mel Gibson,Florian Henckel von Donnersmarck,Ulrich Mhe; Martina Gedeck; Sebastian Koch,89,8.5,148438,2000000,1.13E+07,R,23-Mar-06
Little Miss Sunshine,101,Adventure; Comedy; Drama,Florian Henckel von Donnersmarck,Michael Arndt,Steve Carell; Toni Collette; Greg Kinnear,80,7.9,238202,8000000,5.99E+07,R,18-Aug-06
The Devil Wears Prada,109,Comedy; Drama; Romance,Gabriele Muccino,Aline Brosh McKenna; Lauren Weisberger,Anne Hathaway; Meryl Streep; Adrian Grenier,62,6.7,161979,3.50E+07,1.25E+08,PG-13,30-Jun-06
The Fast and the Furious: Tokyo Drift,104,Action; Crime; Drama,Edward Zwick,Chris Morgan,Lucas Black; Zachery Ty Bryan; Bow Wow,46,5.7,83895,8.50E+07,6.25E+07,PG-13,16-Jun-06
Blood Diamond,143,Adventure; Drama; Thriller,David Frankel,Charles Leavitt; Charles Leavitt,Leonardo DiCaprio; Djimon Hounsou; Jennifer Connelly,64,8,236105,1.00E+08,5.73E+07,R,8-Dec-06
The Illusionist,110,Drama; Mystery; Romance,Christophe Gans,Neil Burger; Steven Millhauser,Edward Norton; Jessica Biel; Paul Giamatti,68,7.6,186063,1.60E+07,3.98E+07,PG-13,1-Sep-06
She's the Man,105,Comedy; Romance,Nicholaus Goossen,Ewan Leslie; Karen McCullah Lutz,Amanda Bynes; Laura Ramsey; Channing Tatum,45,6.3,62985,2.00E+07,3.37E+07,PG-13,17-Mar-06
Lucky Number Slevin,110,Crime; Drama; Mystery,Paul McGuigan,Jason Smilovic,Josh Hartnett; Ben Kingsley; Morgan Freeman,53,7.7,177865,,2.25E+07,R,7-Apr-06
Silent Hill,125,Adventure; Horror,Spike Lee,Roger Avary,Radha Mitchell; Laurie Holden; Sean Bean,30,6.5,114569,5.00E+07,4.70E+07,R,21-Apr-06
Inside Man,129,Crime; Drama; Thriller,Neil Burger,Russell Gewirtz,Denzel Washington; Clive Owen; Jodie Foster,76,7.7,176126,4.50E+07,8.85E+07,R,24-Mar-06
The Da Vinci Code,149,Mystery; Thriller,Alfonso Cuarn,Akiva Goldsman; Dan Brown,Tom Hanks; Audrey Tautou; Jean Reno,46,6.4,199273,1.25E+08,2.18E+08,PG-13,19-May-06
Children of Men,109,Adventure; Drama; Sci-Fi,Marc Forster,Alfonso Cuarn; Timothy J. Sexton,Julianne Moore; Clive Owen; Chiwetel Ejiofor,84,7.9,252204,7.60E+07,3.53E+07,R,5-Jan-07
Babel,143,Drama,Jonathan Dayton,Guillermo Arriaga; Guillermo Arriaga,Brad Pitt; Cate Blanchett; Gael Garca Bernal,69,7.5,171321,2.50E+07,3.43E+07,R,10-Nov-06
Superman Returns,154,Action; Adventure; Fantasy,Bryan Singer,Michael Dougherty; Dan Harris,Brandon Routh; Kevin Spacey; Kate Bosworth,72,6.3,169461,2.09E+08,2.00E+08,PG-13,28-Jun-06
DOA: Dead or Alive,87,Action; Adventure,Mark Neveldine,J.F. Lawton; Adam Gross,Jaime Pressly; Devon Aoki; Sarah Carter,38,4.7,29325,2.10E+07,480314,PG-13,15-Sep-06
Stranger Than Fiction,113,Comedy; Drama; Fantasy,J.J. Abrams,Zach Helm,Will Ferrell; Emma Thompson; Dustin Hoffman,67,7.7,132333,3.80E+07,4.01E+07,PG-13,10-Nov-06
Apocalypto,139,Adventure; Drama; Thriller,Ron Howard,Mel Gibson; Farhad Safinia,Gerardo Taracena; Raoul Trujillo; Dalia Hernndez,68,7.8,162633,4.00E+07,5.09E+07,R,8-Dec-06
Mission: Impossible III,126,Action; Adventure; Thriller,Nick Cassavetes,Alex Kurtzman; Roberto Orci,Tom Cruise; Michelle Monaghan; Ving Rhames,66,6.8,152862,1.50E+08,1.34E+08,PG-13,5-May-06
Crank,88,Action; Crime; Thriller,Andy Fickman,Mark Neveldine; Brian Taylor,Jason Statham; Amy Smart; Carlos Sanz,57,7,131672,1.20E+07,2.78E+07,R,1-Sep-06
Smokin' Aces,108,Action; Crime; Drama,Adam McKay,Joe Carnahan,Jeremy Piven; Ryan Reynolds; Ray Liotta,45,6.6,92655,1.70E+07,3.57E+07,R,26-Jan-07
Happy Feet,108,Animation; Comedy; Family,Alejandro Gonzlez Irritu,Warren Coleman; John Collee,Elijah Wood; Brittany Murphy; Hugh Jackman,77,6.5,82013,1.00E+08,1.98E+08,PG,17-Nov-06
Click,107,Comedy; Drama; Fantasy,Darren Aronofsky,Steve Koren; Mark O'Keefe,Adam Sandler; Kate Beckinsale; Christopher Walken,45,6.4,151385,7.00E+07,1.37E+08,PG-13,23-Jun-06
The Fountain,96,Drama; Romance; Sci-Fi,Jessica Bendinger,Darren Aronofsky; Darren Aronofsky,Hugh Jackman; Rachel Weisz; Sean Patrick Thomas,51,7.3,131048,3.50E+07,1.01E+07,PG-13,22-Nov-06
Step Up,104,Crime; Drama; Music,Shawn Levy,Duane Adler; Melissa Rosenberg,Channing Tatum; Jenna Dewan-Tatum; Damaine Radcliff,48,6.2,50517,1.20E+07,6.53E+07,PG-13,11-Aug-06
Talladega Nights: The Ballad of Ricky Bobby,108,Action; Comedy; Sport,Andrew Davis,Will Ferrell; Adam McKay,Will Ferrell; John C. Reilly; Sacha Baron Cohen,66,6.4,82006,7.30E+07,1.48E+08,PG-13,4-Aug-06
The Holiday,138,Comedy; Romance,Tom Tykwer,Nancy Meyers,Kate Winslet; Cameron Diaz; Jude Law,52,6.8,109804,8.50E+07,6.32E+07,PG-13,8-Dec-06
Perfume: The Story of a Murderer,147,Drama; Fantasy,Stefen Fangmeier,Andrew Birkin; Bernd Eichinger,Ben Whishaw; Dustin Hoffman; Alan Rickman,56,7.5,120550,&#8364;50000000,2208939,R,5-Jan-07
Eragon,104,Action; Adventure; Family,Frank Coraci,Peter Buchman; Christopher Paolini,Ed Speleers; Sienna Guillory; Jeremy Irons,38,5,72740,1.00E+08,7.50E+07,PG,15-Dec-06
Deja Vu,126,Action; Sci-Fi; Thriller,Anne Fletcher,Bill Marsilii; Terry Rossio,Denzel Washington; Paula Patton; Jim Caviezel,59,7,151592,7.50E+07,6.40E+07,PG-13,22-Nov-06
Night at the Museum,108,Action; Adventure; Comedy,Steve Pink,Robert Ben Garant; Thomas Lennon,Ben Stiller; Carla Gugino; Ricky Gervais,48,6.3,132230,1.10E+08,2.51E+08,PG,22-Dec-06
Idiocracy,84,Adventure; Comedy; Sci-Fi,Mike Judge,Mike Judge; Mike Judge,Luke Wilson; Maya Rudolph; Dax Shepard,64,6.4,67970,,438653,R,25-Jan-07
Little Children,137,Drama,Nancy Meyers,Todd Field; Tom Perrotta,Kate Winslet; Jennifer Connelly; Patrick Wilson,75,7.7,67184,1.40E+07,5459824,R,3-Nov-06
Letters from Iwo Jima,141,Drama; History; War,Bill Condon,Iris Yamashita; Iris Yamashita,Ken Watanabe; Kazunari Ninomiya; Tsuyoshi Ihara,89,8,97966,1.90E+07,1.38E+07,R,2-Feb-07
Scary Movie 4,83,Comedy,Todd Field,Craig Mazin; Jim Abrahams,Anna Faris; Regina Hall; Craig Bierko,40,5,64759,4.50E+07,9.07E+07,PG-13,14-Apr-06
Accepted,93,Comedy,Joe Carnahan,Adam Cooper; Bill Collage,Justin Long; Jonah Hill; Blake Lively,47,6.4,70019,2.30E+07,3.63E+07,PG-13,18-Aug-06
Underworld: Evolution,106,Action; Fantasy; Sci-Fi,Kevin Smith,Danny McBride; Len Wiseman,Kate Beckinsale; Scott Speedman; Bill Nighy,36,6.7,101905,5.00E+07,6.23E+07,R,20-Jan-06
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,84,Comedy,Tony Scott,Sacha Baron Cohen; Anthony Hines,Sacha Baron Cohen; Ken Davitian; Luenell,89,7.3,210341,1.80E+07,1.29E+08,R,3-Nov-06
Alpha Dog,122,Biography; Crime; Drama,Len Wiseman,Nick Cassavetes,Emile Hirsch; Justin Timberlake; Anton Yelchin,53,6.8,65486,,1.52E+07,R,12-Jan-07
A Good Year,117,Comedy; Drama; Romance,Sergey Bondarchuk,Marc Klein; Peter Mayle,Russell Crowe; Abbie Cornish; Albert Finney,47,6.8,45912,3.50E+07,7458269,PG-13,10-Nov-06
RV,99,Adventure; Comedy; Family,Ericson Core,Geoff Rodkey,Robin Williams; Cheryl Hines; Kristin Chenoweth,33,5.4,30114,6.50E+07,7.14E+07,PG,28-Apr-06
Ice Age: The Meltdown,91,Animation; Action; Adventure,Larry Charles,Gerry Swallow; Peter Gaulke,Ray Romano; John Leguizamo; Denis Leary,58,6.8,108669,8.00E+07,1.95E+08,PG,31-Mar-06
John Tucker Must Die,89,Comedy; Romance,George Miller,Jeff Lowell,Jesse Metcalfe; Ashanti; Arielle Kebbel,41,5.6,40018,1.80E+07,4.10E+07,PG-13,28-Jul-06
Cashback,102,Comedy; Drama; Romance,Sean Ellis,Sean Ellis,Sean Biggerstaff; Emilia Fox; Michelle Ryan,54,7.3,48549,,24942,R,9-May-08
The Fall,117,Adventure; Drama; Fantasy,David Zucker,Dan Gilroy; Nico Soultanakis,Lee Pace; Catinca Untaru; Justine Waddell,64,7.8,58017,,2280348,R,3-Jan-08
The Marine,92,Action; Drama; Thriller,Elizabeth Allen,Michelle Gallagher; Michelle Gallagher,John Cena; Kelly Carlson; Robert Patrick,45,4.6,19633,2.00E+07,1.88E+07,PG-13,13-Oct-06
The Break-Up,106,Comedy; Drama; Romance,Alexandre Aja,Jeremy Garelick; Jay Lavender,Jennifer Aniston; Vince Vaughn; Jon Favreau,45,5.8,68305,5.20E+07,1.19E+08,PG-13,2-Jun-06
Grandma's Boy,94,Comedy,Carlos Saldanha,Barry Wernick; Allen Covert,Allen Covert; Linda Cardellini; Shirley Jones,33,6.9,48990,,6088249,R,6-Jan-06
Over the Hedge,83,Animation; Adventure; Comedy,Tim Johnson,Len Blum; Lorne Cameron,Bruce Willis; Garry Shandling; Steve Carell,67,6.8,81039,,1.55E+08,PG,19-May-06
Rocky Balboa,102,Drama; Sport,Betty Thomas,Sylvester Stallone; Sylvester Stallone,Sylvester Stallone; Antonio Tarver; Milo Ventimiglia,63,7.2,105003,2.40E+07,7.03E+07,PG,20-Dec-06
Monster House,91,Animation; Comedy; Family,John Carney,Dan Harmon; Rob Schrab,Mitchel Musso; Sam Lerner; Spencer Locke,68,6.7,41825,7.50E+07,7.37E+07,PG,21-Jul-06
The Good Shepherd,167,Drama; History; Thriller,Tarsem Singh,Eric Roth,Matt Damon; Angelina Jolie; Robert De Niro,61,6.7,69278,9.00E+07,5.99E+07,R,22-Dec-06
The Hills Have Eyes,107,Horror; Thriller,Keenen Ivory Wayans,Alexandre Aja; Grgory Levasseur,Ted Levine; Kathleen Quinlan; Dan Byrd,52,6.4,84356,1.50E+07,4.18E+07,R,10-Mar-06
This Is England,101,Crime; Drama,Shane Meadows,Shane Meadows,Thomas Turgoose; Stephen Graham; Jo Hartley,86,7.7,65849,&#163;1500000,327919,,27-Apr-07
Half Nelson,106,Drama,Robert De Niro,Ryan Fleck; Anna Boden,Ryan Gosling; Anthony Mackie; Shareeka Epps,85,7.3,47642,700000,2694973,R,11-Aug-06
A Scanner Darkly,100,Animation; Crime; Drama,Gil Kenan,Philip K. Dick; Richard Linklater,Keanu Reeves; Winona Ryder; Robert Downey Jr.,73,7,64108,8500000,5501616,R,18-Aug-06
Clerks II,97,Comedy,Corey Yuen,Kevin Smith,Brian O'Halloran; Jeff Anderson; Rosario Dawson,65,7.4,86795,5000000,2.41E+07,R,21-Jul-06
Beerfest,110,Comedy,Roger Allers,Jay Chandrasekhar; Kevin Heffernan,Jay Chandrasekhar; Kevin Heffernan; Steve Lemme,46,6.1,40415,1.75E+07,1.92E+07,R,25-Aug-06
The Host,119,Horror; Sci-Fi; Thriller,Kevin Macdonald,Joon-ho Bong; Won-jun Ha,Kang-ho Song; Hie-bong Byeon; Hae-il Park,85,7,45129,KRW 12215500000,2201412,R,27-Jul-06
The Guardian,139,Action; Adventure; Drama,Wayne Kramer,Ron L. Brinkerhoff,Kevin Costner; Ashton Kutcher; Sela Ward,53,6.7,51381,7.00E+07,5.50E+07,PG-13,29-Sep-06
The Last King of Scotland,123,Biography; Drama; History,Ryan Fleck,Peter Morgan; Jeremy Brock,James McAvoy; Forest Whitaker; Gillian Anderson,74,7.7,99220,&#163;5000000,1.76E+07,R,12-Jan-07
Flags of Our Fathers,132,Drama; History; War,Jared Hess,William Broyles Jr.; Paul Haggis,Ryan Phillippe; Barry Pepper; Joseph Cross,79,7.1,71904,5.30E+07,3.36E+07,R,20-Oct-06
The Lake House,99,Drama; Fantasy; Romance,Craig Brewer,David Auburn; Eun-Jeong Kim,Keanu Reeves; Sandra Bullock; Christopher Plummer,52,6.7,75574,4.00E+07,5.23E+07,PG,16-Jun-06
The Painted Veil,125,Drama; Romance,Clint Eastwood,Ron Nyswaner; W. Somerset Maugham,Naomi Watts; Edward Norton; Liev Schreiber,69,7.5,52736,1.94E+07,8060487,PG-13,19-Jan-07
Nacho Libre,92,Comedy; Family; Sport,Uwe Boll,Jared Hess; Jerusha Hess,Jack Black; Ana de la Reguera; Hctor Jimnez,52,5.6,47471,3.20E+07,8.02E+07,PG,16-Jun-06
Once,85,Drama; Music; Romance,John Curran,John Carney,Glen Hansard; Markta Irglov; Hugh Walsh,88,7.9,57346,&#8364;180000,9437933,R,23-Mar-07
The Covenant,97,Action; Fantasy; Horror,Sofia Coppola,J.S. Cardone,Steven Strait; Sebastian Stan; Toby Hemingway,19,5,28719,2.00E+07,2.33E+07,PG-13,8-Sep-06
Black Snake Moan,116,Drama,Nick Hurran,Craig Brewer,Christina Ricci; Samuel L. Jackson; Justin Timberlake,52,7,40120,1.50E+07,9396870,R,2-Mar-07
Open Season,83,Animation; Adventure; Comedy,Richard Linklater,Steve Bencich; Ron J. Friedman,Ashton Kutcher; Martin Lawrence; Debra Messing,49,6.1,38393,8.50E+07,8.43E+07,PG,29-Sep-06
Running Scared,122,Action; Crime; Drama,James Gartner,Wayne Kramer,Paul Walker; Cameron Bright; Chazz Palminteri,41,7.4,66420,1.70E+07,6855137,R,24-Feb-06
The Benchwarmers,80,Adventure; Comedy; Sport,Olivier Assayas,Allen Covert; Nick Swardson,David Spade; Jon Heder; Rob Schneider,25,5.4,27671,3.30E+07,5.77E+07,PG-13,7-Apr-06
Final Destination 3,93,Horror,Werner Herzog,Glen Morgan; James Wong,Mary Elizabeth Winstead; Ryan Merriman; Kris Lemche,41,5.7,65775,3.40E+07,5.41E+07,R,10-Feb-06
Flushed Away,85,Animation; Adventure; Comedy,Clint Eastwood,Dick Clement; Ian La Frenais,Hugh Jackman; Kate Winslet; Ian McKellen,74,6.7,50997,1.49E+08,6.45E+07,PG,3-Nov-06
16 Blocks,105,Action; Crime; Drama,David Bowers,Richard Wenk,Bruce Willis; Mos Def; David Morse,63,6.6,82337,5.20E+07,3.69E+07,PG-13,3-Mar-06
Turistas,93,Horror; Mystery; Thriller,John Bonito,Michael Ross,Josh Duhamel; Melissa George; Olivia Wilde,36,5.2,23531,1.00E+07,7025803,R,1-Dec-06
LiTTLEMAN,98,Comedy; Crime,Tony Goldwyn,Keenen Ivory Wayans; Shawn Wayans,Shawn Wayans; Marlon Wayans; Kerry Washington,26,3.8,27607,6.40E+07,5.83E+07,PG-13,14-Jul-06
Slither,95,Comedy; Horror; Sci-Fi,Jay Chandrasekhar,James Gunn,Nathan Fillion; Elizabeth Banks; Michael Rooker,69,6.5,42875,1.55E+07,7774730,R,31-Mar-06
The History Boys,109,Comedy; Drama,Ridley Scott,Alan Bennett; Alan Bennett,Richard Griffiths; Frances de la Tour; Clive Merrison,74,6.7,13261,&#163;2000000,2706659,R,13-Oct-06
