Movie_Title,Time,Genre,Directors,Writers,Actors,Metascore,User_Rating,Number_of_Ratings,Budget,Box_Office_US,MPAA,Date
Gothika,98,Thriller,Yann Samuell,Sebastian Gutierrez,Halle Berry; Penlope Cruz; Robert Downey Jr.,38,5.7,62485,4.00E+07,5.96E+07,R,21-Nov-03
Something's Gotta Give,128,Comedy; Romance,Ridley Scott,Nancy Meyers,Jack Nicholson; Diane Keaton; Keanu Reeves,66,6.7,63033,,1.25E+08,PG-13,12-Dec-03
Love Me If You Dare,93,Comedy; Drama; Romance,McG,Yann Samuell,Guillaume Canet; Marion Cotillard; Thibault Verhaeghe,45,7.6,35118,,548707,R,14-May-04
Charlie's Angels: Full Throttle,106,Action; Adventure; Comedy,Alan Parker,Ivan Goff; Ben Roberts,Drew Barrymore; Lucy Liu; Cameron Diaz,48,4.7,73007,1.20E+08,1.01E+08,PG-13,27-Jun-03
The Core,135,Action; Adventure; Sci-Fi,David R. Ellis,Cooper Layne; John Rogers,Aaron Eckhart; Hilary Swank; Delroy Lindo,48,5.3,53398,6.00E+07,3.11E+07,PG-13,28-Mar-03
Honey,94,Drama; Music; Romance,Mike Newell,Alonzo Brown; Kim Watson,Jessica Alba; Mekhi Phifer; Romeo Miller,37,4.9,25142,2.50E+07,3.02E+07,PG-13,5-Dec-03
The Life of David Gale,130,Drama; Crime; Thriller,Mathieu Kassovitz,Charles Randolph,Kevin Spacey; Kate Winslet; Laura Linney,31,7.4,59421,5.00E+07,1.96E+07,R,21-Feb-03
A Tale of Two Sisters,115,Drama; Horror; Mystery,Lawrence Kasdan,Jee-woon Kim,Kap-su Kim; Jung-ah Yum; Su-jeong Lim,65,7.2,28408,,,R,13-Jun-03
Matchstick Men,116,Comedy; Crime; Drama,Lars von Trier,Eric Garcia; Nicholas Griffin,Nicolas Cage; Alison Lohman; Sam Rockwell,61,7.3,76700,,3.69E+07,PG-13,12-Sep-03
A Man Apart,109,Action; Crime; Drama,Terry Zwigoff,Christian Gudegast; Paul Scheuring,Vin Diesel; Timothy Olyphant; Larenz Tate,36,5.9,27255,3.60E+07,2.62E+07,R,4-Apr-03
Mona Lisa Smile,117,Drama,Ronny Yu,Lawrence Konner; Mark Rosenthal,Julia Roberts; Kirsten Dunst; Julia Stiles,45,6.2,42396,6.50E+07,6.37E+07,PG-13,19-Dec-03
Under the Tuscan Sun,113,Comedy; Drama; Romance,Gary Fleder,Frances Mayes; Audrey Wells,Diane Lane; Raoul Bova; Sandra Oh,52,6.6,23232,1.80E+07,4.36E+07,PG-13,26-Sep-03
What a Girl Wants,105,Comedy; Drama; Romance,Wolfgang Becker,William Douglas-Home; William Douglas-Home,Amanda Bynes; Colin Firth; Kelly Preston,41,5.7,28073,2.00E+07,3.60E+07,PG,4-Apr-03
Freddy vs. Jason,97,Action; Crime; Horror,Dennie Gordon,Wes Craven; Victor Miller,Robert Englund; Ken Kirzinger; Kelly Rowland,37,5.7,62618,2.50E+07,8.22E+07,R,15-Aug-03
Ong-bak,105,Action; Thriller,Jon Amiel,Prachya Pinkaew; Panna Rittikrai,Tony Jaa; Petchtai Wongkamlao; Pumwaree Yodkamol,69,7.2,42056,,4560061,R,23-Oct-03
Gigli,121,Comedy; Crime; Romance,David Dobkin,Martin Brest,Ben Affleck; Jennifer Lopez; Justin Bartha,18,2.4,34919,5.40E+07,6068735,R,1-Aug-03
Bad Santa,91,Comedy; Crime,F. Gary Gray,Glenn Ficarra; John Requa,Billy Bob Thornton; Bernie Mac; Lauren Graham,70,7.1,74216,1.80E+07,6.01E+07,R,26-Nov-03
Runaway Jury,127,Drama; Thriller,Bo Welch,John Grisham; Brian Koppelman,John Cusack; Rachel Weisz; Gene Hackman,61,7,56949,6.00E+07,4.94E+07,PG-13,17-Oct-03
Good Bye Lenin!,121,Comedy; Drama; Romance,Prachya Pinkaew,Bernd Lichtenberg; Wolfgang Becker,Daniel Brhl; Katrin Sa; Chulpan Khamatova,68,7.7,72400,&#8364;4800000,4063859,R,13-Feb-03
Dr. Seuss' The Cat in the Hat,82,Adventure; Comedy; Family,Kevin Costner,Dr. Seuss; Alec Berg,Mike Myers; Spencer Breslin; Dakota Fanning,19,3.6,24719,1.09E+08,1.00E+08,PG,21-Nov-03
Dreamcatcher,134,Drama; Horror; Sci-Fi,Adam Shankman,Stephen King; William Goldman,Morgan Freeman; Thomas Jane; Jason Lee,35,5.4,54478,6.80E+07,3.37E+07,R,21-Mar-03
Bulletproof Monk,104,Action; Comedy; Fantasy,John Whitesell,Ethan Reiff; Cyrus Voris,Yun-Fat Chow; Seann William Scott; Jaime King,40,5.3,30907,5.20E+07,2.30E+07,PG-13,16-Apr-03
Basic,98,Action; Mystery; Thriller,Charles Herman-Wurmfeld,James Vanderbilt,John Travolta; Samuel L. Jackson; Connie Nielsen,34,6.4,37173,5.00E+07,2.65E+07,R,28-Mar-03
The Station Agent,89,Comedy; Drama,Peter Webber,Thomas McCarthy,Peter Dinklage; Patricia Clarkson; Bobby Cannavale,81,7.7,37114,500000,5739376,R,5-Dec-03
Shanghai Knights,114,Action; Adventure; Comedy,Paul Hunter,Alfred Gough; Miles Millar,Jackie Chan; Owen Wilson; Fann Wong,58,6.1,51111,5.00E+07,6.05E+07,PG-13,7-Feb-03
Girl with a Pearl Earring,100,Biography; Drama; Romance,Alexandre Aja,Tracy Chevalier; Olivia Hetreed,Scarlett Johansson; Colin Firth; Tom Wilkinson,72,7,41432,,1.16E+07,PG-13,9-Jan-04
Spy Kids 3-D: Game Over,84,Action; Adventure; Comedy,Bille Woodruff,Robert Rodriguez,Daryl Sabara; Alexa Vega; Antonio Banderas,57,4,24178,3.90E+07,1.12E+08,PG,25-Jul-03
Daddy Day Care,92,Comedy; Family,Joel Coen,Geoff Rodkey,Eddie Murphy; Jeff Garlin; Anjelica Huston,39,5.4,30651,6.00E+07,1.04E+08,PG,9-May-03
Intolerable Cruelty,100,Comedy; Crime; Romance,Robert Rodriguez,Robert Ramsey; Matthew Stone,George Clooney; Catherine Zeta-Jones; Billy Bob Thornton,71,6.3,54629,6.00E+07,3.53E+07,PG-13,10-Oct-03
Stuck on You,118,Comedy,Carl Franklin,Charles B. Wessler; Bennett Yellin,Matt Damon; Greg Kinnear; Eva Mendes,62,5.8,33466,5.50E+07,3.38E+07,PG-13,12-Dec-03
Elephant,81,Crime; Drama; Thriller,John McTiernan,Gus Van Sant,Elias McConnell; Alex Frost; Eric Deulen,70,7.2,52402,3000000,1227000,R,3-Oct-03
The Lizzie McGuire Movie,94,Adventure; Comedy; Family,Thomas McCarthy,Susan Estelle Jansen; Ed Decter,Hilary Duff; Adam Lamberg; Clayton Snyder,56,4.9,16570,1.70E+07,4.27E+07,PG,2-May-03
"Legally Blonde 2: Red, White &amp; Blonde",95,Comedy,Gary Ross,Amanda Brown; Eve Ahlert,Reese Witherspoon; Sally Field; Bob Newhart,47,4.3,28980,4.50E+07,8.98E+07,PG-13,2-Jul-03
Just Married,95,Comedy; Romance,Shawn Levy,Sam Harper,Ashton Kutcher; Brittany Murphy; Christian Kane,28,5.3,39292,1.80E+07,5.61E+07,PG-13,10-Jan-03
Seabiscuit,140,Drama; History; Sport,Peyton Reed,Laura Hillenbrand; Gary Ross,Tobey Maguire; Jeff Bridges; Elizabeth Banks,72,7.3,43938,8.70E+07,1.20E+08,PG-13,25-Jul-03
Bringing Down the House,105,Comedy,Isabel Coixet,Jason Filardi,Steve Martin; Queen Latifah; Eugene Levy,39,5.4,23069,3.30E+07,1.33E+08,PG-13,7-Mar-03
Swimming Pool,102,Thriller,Gary Hardwick,Franois Ozon; Emmanule Bernheim,Charlotte Rampling; Charles Dance; Ludivine Sagnier,70,6.7,26549,,1.01E+07,R,21-May-03
House of Sand and Fog,126,Drama,Jim Fall,Andre Dubus III; Vadim Perelman,Jennifer Connelly; Ben Kingsley; Ron Eldard,71,7.6,44273,1.50E+07,1.30E+07,R,26-Dec-03
The Passion of the Christ,127,Drama,Nick Cassavetes,Benedict Fitzgerald; Mel Gibson,Jim Caviezel; Monica Bellucci; Maia Morgenstern,47,7,134093,3.00E+07,3.71E+08,R,25-Feb-04
The Notebook,123,Drama; Romance,Mark Waters,Jeremy Leven; Jan Sardi,Gena Rowlands; James Garner; Rachel McAdams,53,7.9,224712,2.90E+07,8.10E+07,PG-13,25-Jun-04
Mean Girls,97,Comedy,Adam McKay,Rosalind Wiseman; Tina Fey,Lindsay Lohan; Jonathan Bennett; Rachel McAdams,66,6.9,134102,1.70E+07,8.60E+07,PG-13,30-Apr-04
The Incredibles,115,Animation; Action; Adventure,Wolfgang Petersen,Brad Bird,Craig T. Nelson; Samuel L. Jackson; Holly Hunter,90,8,284442,9.20E+07,2.61E+08,PG,5-Nov-04
Troy,163,Adventure; Drama; History,Luke Greenfield,Homer; David Benioff,Brad Pitt; Eric Bana; Orlando Bloom,56,7.1,229745,1.75E+08,1.33E+08,R,14-May-04
